date,Id_user,Id_perc,label,longitudeStart,latitudeStart,latitudeEnd,longitudeEnd,TimeStart,TimeEnd,StartDay,EndDay,StartHour,EndHour,distanceTotal,time_total,n777,npoints,vel_avg,vel_max,altitudeAvg,altitudeMax,vcr,sr,hcr,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
4/12/2007,163,20070412102116.plt,bike,116.3300667,39.97646667,39.9672,116.3450667,4/12/2007 10:21,4/12/2007 14:56,Thursday,Thursday,10,14,2721.481077,16540,0,54,0.164539364,9.496104874,51.64814815,90,0.009553621,0.002939576,0.008083834,"Beijing,China",14.1,9.1,11.3,14.1,6.4,11.1,5.9,70.99,1,NA,4.17,NA,NA,NA,NA,28.8,NA,1011.7,68.8,9.6,NA,NA,0,NA,2007-04-12T05:42:29,2007-04-12T18:49:00,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,54511099999
4/12/2007,97,20070412134621.plt,bike,116.3303333,39.97536667,39.96778333,116.3099,4/12/2007 13:46,4/12/2007 14:35,Thursday,Thursday,13,14,2732.198636,2953,0,27,0.925228119,4.533247979,72.37037037,109,0.001098017,0.000732011,0.002196034,"Beijing,China",14.1,9.1,11.3,14.1,6.4,11.1,5.9,70.99,1,NA,4.17,NA,NA,NA,NA,28.8,NA,1011.7,68.8,9.6,NA,NA,0,NA,2007-04-12T05:42:29,2007-04-12T18:49:00,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,54511099999
4/13/2007,163,20070413005306.plt,bike,116.3450333,39.96698333,39.97546667,116.3308167,4/13/2007 0:53,4/13/2007 1:06,Friday,Friday,0,1,2207.791442,789,0,41,2.798214756,5.410261227,96.24390244,262,0.008605885,0.000452941,0.011776475,"Beijing,China",22.1,7.1,15,22.1,5.8,14.9,2.8,47.87,0,NA,0,NA,NA,NA,NA,28.8,NA,1013.6,11.3,13.1,NA,NA,0,NA,2007-04-13T05:40:57,2007-04-13T18:50:00,0.9,Clear,Clear conditions throughout the day.,clear-day,54511099999
4/13/2007,163,20070413005306.plt,taxi,116.3297333,39.97566667,39.97553333,116.3305167,4/13/2007 5:19,4/13/2007 7:18,Friday,Friday,5,7,4992.596412,7109,0,82,0.702292363,138.9559162,68.48780488,161,0.009213643,0.001602373,0.003805635,"Beijing,China",22.1,7.1,15,22.1,5.8,14.9,2.8,47.87,0,NA,0,NA,NA,NA,NA,28.8,NA,1013.6,11.3,13.1,NA,NA,0,NA,2007-04-13T05:40:57,2007-04-13T18:50:00,0.9,Clear,Clear conditions throughout the day.,clear-day,54511099999
4/15/2007,97,20070415145925.plt,bike,116.3214,39.98033333,39.96925,116.3134333,4/15/2007 14:59,4/15/2007 15:08,Sunday,Sunday,14,15,1995.202856,553,0,16,3.607961765,6.742750664,53.6875,59,0.002506011,0,0.003007213,"Beijing,China",16.1,8.4,12.3,16.1,7.4,12.2,0.3,46.79,0,NA,0,NA,NA,NA,NA,18,NA,1013.3,30,12.5,NA,NA,0,NA,2007-04-15T05:37:56,2007-04-15T18:52:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
4/15/2007,111,20070415104458.plt,taxi,116.3275667,39.96703333,39.93441667,116.4195167,4/15/2007 10:44,4/15/2007 11:03,Sunday,Sunday,10,11,11428.35877,1092,0,23,10.46553001,23.21891634,57.52173913,204,0.001400026,0.000175003,0.000700013,"Beijing,China",16.1,8.4,12.3,16.1,7.4,12.2,0.3,46.79,0,NA,0,NA,NA,NA,NA,18,NA,1013.3,30,12.5,NA,NA,0,NA,2007-04-15T05:37:56,2007-04-15T18:52:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
4/16/2007,111,20070416144410.plt,taxi,116.3303167,39.97531667,39.93426667,116.4187667,4/16/2007 14:44,4/16/2007 15:13,Monday,Monday,14,15,12595.11587,1767,0,37,7.127965973,17.76639573,51.45945946,63,0.001826105,0.000476375,0.001429125,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/16/2007,161,20070416130252.plt,walk,116.3204333,39.93091667,39.92748333,116.3152333,4/16/2007 13:19,4/16/2007 13:29,Monday,Monday,13,13,883.2079461,616,0,35,1.433779133,2.720862359,35,173,0.006793417,0,0.015851307,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/16/2007,76,20070416125805.plt,car,116.33135,39.97511667,39.89418333,116.6435,4/16/2007 12:58,4/16/2007 14:14,Monday,Monday,12,14,40486.05881,4557,0,104,8.884366647,17.96736239,40.67307692,100,0.000913895,0.000123499,0.001185593,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/16/2007,163,20070416045235.plt,walk,116.3303833,39.97561667,39.97568333,116.3307167,4/16/2007 4:52,4/16/2007 5:06,Monday,Monday,4,5,710.8293642,805,0,28,0.883017844,1.27023553,45.03571429,126,0.011254459,0.016881689,0.012661266,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/16/2007,161,20070416130252.plt,walk,116.3283,39.97535,39.97458333,116.3275,4/16/2007 13:02,4/16/2007 13:04,Monday,Monday,13,13,147.8637475,96,0,6,1.54024737,2.175527882,38,38,0.020288949,0,0.040577898,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/16/2007,161,20070416130252.plt,bus,116.3274667,39.97441667,39.93091667,116.32075,4/16/2007 13:04,4/16/2007 13:19,Monday,Monday,13,13,5926.618448,871,0,24,6.804383982,22.47187903,72.20833333,175,0.003037145,0.000337461,0.000674921,"Beijing,China",18.4,8.1,13,18.4,6.9,12.9,0.2,43.69,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.9,21.3,13.3,NA,NA,0,NA,2007-04-16T05:36:26,2007-04-16T18:53:02,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,54511099999
4/17/2007,161,20070417130153.plt,walk,116.3281167,39.9743,39.92756667,116.3153167,4/17/2007 13:01,4/17/2007 13:35,Tuesday,Tuesday,13,13,5770.886452,2002,0,35,2.882560665,11.51899642,91.48571429,214,0.002252687,0.000346567,0.001732836,"Beijing,China",22.1,6.1,14.5,22.1,5.8,14.1,-4,34.42,0,NA,0,NA,NA,NA,NA,25.2,NA,1012.5,14.6,13.8,NA,NA,0,NA,2007-04-17T05:34:58,2007-04-17T18:54:03,0,Clear,Clear conditions throughout the day.,clear-day,54511099999
4/18/2007,111,20070418004620.plt,bus,116.4135667,39.96778333,39.97543333,116.33805,4/18/2007 1:00,4/18/2007 1:25,Wednesday,Wednesday,1,1,7636.503039,1508,0,44,5.063994058,30.37644467,55.40909091,92,0.0041904,0,0.00144045,"Beijing,China",25.2,11.1,17.6,25.2,11.1,17.7,3.8,42.07,0,NA,0,NA,NA,NA,NA,25.2,NA,1002.8,18.3,10.3,NA,NA,0,NA,2007-04-18T05:33:29,2007-04-18T18:55:03,0.01,Clear,Clear conditions throughout the day.,clear-day,54511099999
4/19/2007,111,20070419003625.plt,walk,116.4180667,39.96813333,39.96798333,116.4161833,4/19/2007 1:04,4/19/2007 1:06,Thursday,Thursday,1,1,168.0927062,87,0,6,1.932100072,4.239037529,59.83333333,78,0.017847294,0,0.017847294,"Beijing,China",23.7,12.1,18.1,23.7,12.1,18.1,11.1,64.21,0,NA,0,NA,NA,NA,NA,21.6,NA,1000.6,24.6,6.7,NA,NA,0,NA,2007-04-19T05:32:02,2007-04-19T18:56:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
4/19/2007,161,20070419131511.plt,taxi,116.3278,39.97521667,39.92695,116.31495,4/19/2007 15:09,4/19/2007 15:23,Thursday,Thursday,15,15,6768.757445,873,0,22,7.753444954,16.02362031,65.45454545,88,0.002659277,0.000147738,0.001034163,"Beijing,China",23.7,12.1,18.1,23.7,12.1,18.1,11.1,64.21,0,NA,0,NA,NA,NA,NA,21.6,NA,1000.6,24.6,6.7,NA,NA,0,NA,2007-04-19T05:32:02,2007-04-19T18:56:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
4/19/2007,161,20070419131511.plt,walk,116.32765,39.97446667,39.97573333,116.3308667,4/19/2007 13:15,4/19/2007 13:26,Thursday,Thursday,13,13,721.0801892,695,0,28,1.037525452,7.224949328,65.17857143,90,0.027736166,0.011094466,0.026349358,"Beijing,China",23.7,12.1,18.1,23.7,12.1,18.1,11.1,64.21,0,NA,0,NA,NA,NA,NA,21.6,NA,1000.6,24.6,6.7,NA,NA,0,NA,2007-04-19T05:32:02,2007-04-19T18:56:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
4/19/2007,111,20070419003625.plt,bus,116.4158333,39.9681,39.97516667,116.3402,4/19/2007 1:06,4/19/2007 1:35,Thursday,Thursday,1,1,7312.304037,1736,0,34,4.212156703,9.238039309,52.64705882,65,0.003418895,0.000136756,0.000820535,"Beijing,China",23.7,12.1,18.1,23.7,12.1,18.1,11.1,64.21,0,NA,0,NA,NA,NA,NA,21.6,NA,1000.6,24.6,6.7,NA,NA,0,NA,2007-04-19T05:32:02,2007-04-19T18:56:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
